INDICATOR,SEX,economy,Country name,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
HD.HCI.AMRT,_T,UGA,Uganda,,,0.6984000205993652,0.728760838508606,,0.7370315194129944,
HD.HCI.AMRT,_T,UKR,Ukraine,,,0.8113999962806702,0.81119304895401,,0.8146073222160339,
HD.HCI.AMRT,_T,UMC,,,,,,,,
HD.HCI.AMRT,_T,URY,Uruguay,,,0.8967999815940857,0.8913846015930176,,0.8937175273895264,
HD.HCI.AMRT,_T,USA,United States,,,0.9004999995231628,0.8881230354309082,,0.8894835114479065,
HD.HCI.AMRT,_T,UZB,Uzbekistan,,,,0.864387571811676,,0.8661142587661743,
HD.HCI.AMRT,_T,VCT,St Vincent and the Grenadines,,,,0.8303418159484863,,0.8331308364868164,
HD.HCI.AMRT,_T,VEN,"Venezuela, RB",,,,,,,
HD.HCI.AMRT,_T,VGB,British Virgin Islands,,,,,,,
HD.HCI.AMRT,_T,VIR,Virgin Islands (US),,,,,,,
HD.HCI.AMRT,_T,VNM,Vietnam,,,0.8774999976158142,0.8655269742012024,,0.8670669198036194,
HD.HCI.AMRT,_T,VUT,Vanuatu,,,0.8736000061035156,0.8709018230438232,,0.8736411333084106,
HD.HCI.AMRT,_T,WLD,,,,,,,,
HD.HCI.AMRT,_T,WSM,Samoa,,,,0.8879243731498718,,0.8900144100189209,
HD.HCI.AMRT,_T,XKX,Kosovo,,,0.906000018119812,0.906000018119812,,0.906000018119812,
HD.HCI.AMRT,_T,YEM,"Yemen, Rep",,,0.7836999893188477,0.8025341033935547,,0.8037521243095398,
HD.HCI.AMRT,_T,ZAF,South Africa,,,0.6826000213623047,0.6825709342956543,,0.6907526254653931,
HD.HCI.AMRT,_T,ZMB,Zambia,,,0.7106000185012817,0.7248626947402954,,0.732387900352478,
HD.HCI.AMRT,_T,ZWE,Zimbabwe,,,0.670799970626831,0.6420018672943115,,0.6503993272781372,
